mol,M+H,M+K,M+Na,M+2H,M+H[C13],[M-CO]+H,[M+CH2O2]+H,[M+ACN]+H,[M-C2H2]+H,[M-CH2O2]+H,[M+CH3OH]+H,[M-NH3]+H,[M-H2O]+H,[M+NH3]+H,2M+H,M+H[2C13],M+K[C13],M+Na[C13],[M-CO]+K,[M+CH2O2]+K,[M+ACN]+K,[M-C2H2]+K,[M-CH2O2]+K,[M+CH3OH]+K,[M-NH3]+K,[M-H2O]+K,[M+NH3]+K,[M-CO]+Na,[M+CH2O2]+Na,[M+ACN]+Na,[M-C2H2]+Na,[M-CH2O2]+Na,[M+CH3OH]+Na,[M-NH3]+Na,[M-H2O]+Na,[M+NH3]+Na,M+K[2C13],M+2H[C13],M+Na[2C13],[M-CO]+2H,[M+CH2O2]+2H,[M+ACN]+2H,[M-C2H2]+2H,[M-CH2O2]+2H,[M+CH3OH]+2H,[M-NH3]+2H,[M-H2O]+2H,[M+NH3]+2H,[M-CO]+H[C13],[M+CH2O2]+H[C13],[M+ACN]+H[C13],[M-C2H2]+H[C13],[M-CH2O2]+H[C13],[M+CH3OH]+H[C13],[M-NH3]+H[C13],[M-H2O]+H[C13],[M+NH3]+H[C13],M+2H[2C13],2M+H[C13],[M-CO]+H[2C13],[M+CH2O2]+H[2C13],[M+ACN]+H[2C13],[M-C2H2]+H[2C13],[M-CH2O2]+H[2C13],[M+CH3OH]+H[2C13],[M-NH3]+H[2C13],[M-H2O]+H[2C13],[M+NH3]+H[2C13],[2M-CO]+H,[2M+CH2O2]+H,[2M+ACN]+H,[2M-C2H2]+H,[2M-CH2O2]+H,[2M+CH3OH]+H,[2M-NH3]+H,[2M-H2O]+H,[2M+NH3]+H,[M-CO]+K[C13],[M+CH2O2]+K[C13],[M+ACN]+K[C13],[M-C2H2]+K[C13],[M-CH2O2]+K[C13],[M+CH3OH]+K[C13],[M-NH3]+K[C13],[M-H2O]+K[C13],[M+NH3]+K[C13],[M-CO]+Na[C13],[M+CH2O2]+Na[C13],[M+ACN]+Na[C13],[M-C2H2]+Na[C13],[M-CH2O2]+Na[C13],[M+CH3OH]+Na[C13],[M-NH3]+Na[C13],[M-H2O]+Na[C13],[M+NH3]+Na[C13],2M+H[2C13],[M-CO]+K[2C13],[M+CH2O2]+K[2C13],[M+ACN]+K[2C13],[M-C2H2]+K[2C13],[M-CH2O2]+K[2C13],[M+CH3OH]+K[2C13],[M-NH3]+K[2C13],[M-H2O]+K[2C13],[M+NH3]+K[2C13],[M-CO]+2H[C13],[M+CH2O2]+2H[C13],[M+ACN]+2H[C13],[M-C2H2]+2H[C13],[M-CH2O2]+2H[C13],[M+CH3OH]+2H[C13],[M-NH3]+2H[C13],[M-H2O]+2H[C13],[M+NH3]+2H[C13],[M-CO]+Na[2C13],[M+CH2O2]+Na[2C13],[M+ACN]+Na[2C13],[M-C2H2]+Na[2C13],[M-CH2O2]+Na[2C13],[M+CH3OH]+Na[2C13],[M-NH3]+Na[2C13],[M-H2O]+Na[2C13],[M+NH3]+Na[2C13],[M-CO]+2H[2C13],[M+CH2O2]+2H[2C13],[M+ACN]+2H[2C13],[M-C2H2]+2H[2C13],[M-CH2O2]+2H[2C13],[M+CH3OH]+2H[2C13],[M-NH3]+2H[2C13],[M-H2O]+2H[2C13],[M+NH3]+2H[2C13],[2M-CO]+H[C13],[2M+CH2O2]+H[C13],[2M+ACN]+H[C13],[2M-C2H2]+H[C13],[2M-CH2O2]+H[C13],[2M+CH3OH]+H[C13],[2M-NH3]+H[C13],[2M-H2O]+H[C13],[2M+NH3]+H[C13],[2M-CO]+H[2C13],[2M+CH2O2]+H[2C13],[2M+ACN]+H[2C13],[2M-C2H2]+H[2C13],[2M-CH2O2]+H[2C13],[2M+CH3OH]+H[2C13],[2M-NH3]+H[2C13],[2M-H2O]+H[2C13],[2M+NH3]+H[2C13]
Picolinic acid,1.19e+08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ala-Gly,2.12e+07,,7.18e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Arginine,1.94e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Tyrosine,2.88e+07,,,,2.82e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Trimethylammoniobutanoate,2.55e+09,,,,1.98e+08,,,,,,,,,,,1.07e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thiopurine S-methylether,5.87e+08,,,,3.53e+07,,,,,,,,,,,7.75e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N(pi)-Methyl-L-histidine,1.49e+08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicotinamide,7.53e+08,,,,4.87e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5'-Methylthioadenosine,4.24e+08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-2-Aminoadipate,1.61e+07,,,,,,,,,,,,1.51e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypoxanthine,6.05e+07,3.92e+06,7.58e+06,,,,,,,,,,,,,,2.32e+05,3.59e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Methoxytryptamine,9.96e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eflornithine,5.86e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-homoserine,8.54e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyridoxine,3.37e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Oxoproline,2.30e+08,,,,1.28e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Aminocyclopropane-1-carboxylate,1.66e+07,,,,6.63e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deoxyadenosine,4.06e+08,,2.17e+06,,4.19e+07,,,,,,,,,,,3.70e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-(beta-Acetylaminoethyl)imidazole,1.67e+09,,,,1.26e+08,,,,,,,,1.23e+07,,,3.96e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyridoxal,6.27e+08,,,,5.39e+07,,,,,8.02e+05,,,1.78e+08,,,4.18e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selenomethionine,1.00e+09,,2.54e+06,,5.40e+07,,,,,,,,,,1.55e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cytosine,3.89e+08,,5.88e+06,,1.67e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-isoleucine,4.17e+08,,,,,,,,,,,,6.10e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.90e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Carnitine,1.82e+08,,,,1.42e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choline,2.16e+08,,,,1.71e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Methylaminopurine,7.93e+08,,,,5.29e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMP,9.09e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betaine,1.00e+09,,2.54e+06,,5.40e+07,,,,,,,,,,1.55e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEPES,2.87e+08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creatinine,8.40e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantothenate,1.27e+08,,1.06e+07,,1.11e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adenine,2.24e+07,,,,1.12e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
